Type,Date,Price,BalanceBefore,Profit,BalanceAfter
BUY,2013-02-04 10:30:00,1664.75,10359.06407,,
SELL,2013-02-04 14:30:00,1666.86,,2.1099999999999,10361.174070000001
BUY,2013-02-05 02:30:00,1673.69,10361.174070000001,,
SELL,2013-02-08 02:30:00,1672.3,,-1.3900000000001,10359.784070000002
BUY,2013-02-25 14:30:00,1588.76,10359.784070000002,,
SELL,2013-02-28 14:30:00,1587.89,,-0.8699999999998909,10358.914070000003
BUY,2013-03-05 18:30:00,1576.65,10358.914070000003,,
SELL,2013-03-06 14:30:00,1571.4,,-5.25,10353.664070000003
BUY,2013-03-07 06:30:00,1584.11,10353.664070000003,,
SELL,2013-03-08 06:30:00,1578.5,,-5.6099999999999,10348.054070000002
BUY,2013-03-11 13:30:00,1579.82,10348.054070000002,,
SELL,2013-03-14 17:30:00,1592.65,,12.830000000000155,10360.884070000002
BUY,2013-03-15 01:30:00,1591.72,10360.884070000002,,
SELL,2013-03-25 02:30:00,1608.9,,17.180000000000064,10378.064070000002
BUY,2013-03-28 06:30:00,1605.48,10378.064070000002,,
SELL,2013-04-01 02:30:00,1599.41,,-6.069999999999936,10371.994070000002
BUY,2013-04-08 02:30:00,1576.8,10371.994070000002,,
SELL,2013-04-11 02:30:00,1559.86,,-16.940000000000055,10355.054070000002
BUY,2013-04-18 18:30:00,1391.97,10355.054070000002,,
SELL,2013-05-01 22:30:00,1457.49,,65.51999999999998,10420.574070000002
BUY,2013-05-03 06:30:00,1475.62,10420.574070000002,,
SELL,2013-05-07 10:30:00,1461.2,,-14.419999999999845,10406.154070000002
BUY,2013-05-09 02:30:00,1472.87,10406.154070000002,,
SELL,2013-05-10 14:30:00,1430.19,,-42.679999999999836,10363.474070000002
BUY,2013-05-21 10:30:00,1383.02,10363.474070000002,,
SELL,2013-05-23 10:30:00,1386.43,,3.410000000000082,10366.884070000002
BUY,2013-05-23 22:30:00,1390.85,10366.884070000002,,
SELL,2013-05-28 18:30:00,1383.5,,-7.349999999999909,10359.534070000002
BUY,2013-05-30 06:30:00,1402.5,10359.534070000002,,
SELL,2013-06-03 06:30:00,1396.2,,-6.2999999999999545,10353.234070000002
BUY,2013-06-04 06:30:00,1410.61,10353.234070000002,,
SELL,2013-06-04 22:30:00,1399.06,,-11.549999999999955,10341.684070000003
BUY,2013-06-05 18:30:00,1400.99,10341.684070000003,,
SELL,2013-06-06 10:30:00,1400.45,,-0.5399999999999636,10341.144070000002
BUY,2013-06-07 02:30:00,1415.46,10341.144070000002,,
SELL,2013-06-07 22:30:00,1382.3,,-33.16000000000008,10307.984070000002
BUY,2013-06-13 02:30:00,1391.05,10307.984070000002,,
SELL,2013-06-18 02:30:00,1385.64,,-5.4099999999998545,10302.574070000002
BUY,2013-07-01 10:30:00,1241.78,10302.574070000002,,
SELL,2013-07-05 02:30:00,1242.9,,1.1200000000001182,10303.694070000003
BUY,2013-07-09 10:30:00,1250.45,10303.694070000003,,
SELL,2013-07-16 10:30:00,1286.71,,36.25999999999999,10339.954070000003
BUY,2013-07-16 18:30:00,1291.9,10339.954070000003,,
SELL,2013-07-18 02:30:00,1275.75,,-16.15000000000009,10323.804070000004
BUY,2013-07-19 10:30:00,1286.74,10323.804070000004,,
SELL,2013-07-25 06:30:00,1320.82,,34.07999999999993,10357.884070000004
BUY,2013-07-26 10:30:00,1328.83,10357.884070000004,,
SELL,2013-07-29 02:30:00,1326.25,,-2.5799999999999272,10355.304070000004
BUY,2013-07-29 18:30:00,1328.94,10355.304070000004,,
SELL,2013-07-30 14:30:00,1320.37,,-8.570000000000164,10346.734070000004
BUY,2013-07-31 14:30:00,1313.48,10346.734070000004,,
SELL,2013-07-31 22:30:00,1324.7,,11.220000000000027,10357.954070000003
BUY,2013-08-08 18:30:00,1309.72,10357.954070000003,,
SELL,2013-08-14 10:30:00,1323.68,,13.960000000000036,10371.914070000003
BUY,2013-08-15 06:30:00,1339.27,10371.914070000003,,
SELL,2013-08-21 02:30:00,1372.73,,33.460000000000036,10405.374070000002
BUY,2013-08-21 06:30:00,1368.58,10405.374070000002,,
SELL,2013-08-21 18:30:00,1373.04,,4.460000000000036,10409.83407
BUY,2013-08-22 22:30:00,1375.81,10409.83407,,
